simulation_number,seed,episode,total_steps,resource_remaining,initial_resources,max_steps,total_personal_reward_0,total_personal_reward_1,total_personal_reward_2,total_personal_reward_3,total_personal_reward_4,total_personal_reward_5,total_empathic_reward_0,total_empathic_reward_1,total_empathic_reward_2,total_empathic_reward_3,total_empathic_reward_4,total_empathic_reward_5,total_combined_reward_0,total_combined_reward_1,total_combined_reward_2,total_combined_reward_3,total_combined_reward_4,total_combined_reward_5,simulation_index,episodes,emotion,see_emotions,alpha,beta,smoothing,threshold,rounder,learning_rate,gamma,epsilon,epsilon_decay,epsilon_min,batch_size,hidden_size,update_target_every,random_suffix,suffix,source
5,5,3,1000,1.0,500,1000,85.99999999999945,96.99999999999932,68.99999999999969,91.99999999999947,83.99999999999947,70.9999999999996,-834.8000000000002,-839.2,-828.0000000000007,-837.2,-834.000000000001,-828.8000000000013,-374.3999999999995,-371.09999999999945,-379.4999999999994,-372.5999999999994,-374.9999999999994,-378.89999999999947,5,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,715450,episode_summary,gametheoretic
5,5,4,1000,1.0,500,1000,78.99999999999955,85.99999999999959,77.9999999999994,89.99999999999956,85.99999999999939,79.99999999999939,-832.000000000001,-834.7999999999995,-831.6000000000017,-836.4000000000004,-834.8,-832.4000000000001,-376.50000000000006,-374.4,-376.8000000000002,-373.19999999999976,-374.4000000000004,-376.1999999999998,5,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,715450,episode_summary,gametheoretic
5,5,5,1000,3.0,500,1000,85.99999999999946,78.9999999999995,86.99999999999947,80.99999999999946,82.99999999999942,80.99999999999947,-835.600000000001,-832.8000000000008,-835.9999999999998,-833.6000000000014,-834.4000000000002,-833.6000000000015,-374.7999999999999,-376.8999999999999,-374.5,-376.29999999999967,-375.69999999999976,-376.2999999999999,5,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,715450,episode_summary,gametheoretic
5,5,6,1000,2.0,500,1000,85.99999999999955,75.99999999999949,87.99999999999932,65.99999999999963,87.99999999999957,93.99999999999952,-835.2000000000002,-831.2,-835.9999999999999,-827.1999999999994,-836.0000000000006,-838.4000000000005,-374.6,-377.5999999999998,-374.00000000000006,-380.5999999999999,-373.9999999999998,-372.2000000000001,5,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,715450,episode_summary,gametheoretic
5,5,7,1000,0.0,500,1000,101.999999999999,82.99999999999949,79.99999999999936,76.99999999999949,88.99999999999959,68.99999999999935,-840.8000000000005,-833.2000000000016,-832.0000000000017,-830.800000000001,-835.6000000000009,-827.6000000000007,-369.40000000000026,-375.0999999999999,-375.9999999999999,-376.89999999999975,-373.29999999999984,-379.3000000000003,5,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,715450,episode_summary,gametheoretic
6,6,0,1000,1.0,500,1000,91.99999999999936,73.99999999999953,81.99999999999959,66.99999999999972,93.99999999999936,89.99999999999949,-837.1999999999992,-829.9999999999997,-833.1999999999999,-827.2000000000016,-838.0000000000008,-836.4000000000005,-372.6000000000005,-378.0000000000003,-375.6000000000004,-380.10000000000025,-372.0000000000004,-373.2000000000005,6,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,401208,episode_summary,gametheoretic
6,6,1,1000,2.0,500,1000,83.99999999999959,88.9999999999995,64.99999999999959,84.99999999999933,86.9999999999994,87.9999999999994,-834.4000000000003,-836.4000000000015,-826.8000000000011,-834.8000000000015,-835.6000000000017,-836.0000000000018,-375.2000000000006,-373.70000000000056,-380.9000000000007,-374.90000000000055,-374.3000000000005,-374.00000000000057,6,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,401208,episode_summary,gametheoretic
6,6,2,1000,1.0,500,1000,78.99999999999955,87.9999999999993,89.99999999999946,87.99999999999955,71.99999999999945,81.99999999999959,-832.0000000000013,-835.6000000000006,-836.4000000000012,-835.6000000000006,-829.2000000000002,-833.2000000000008,-376.4999999999998,-373.8,-373.1999999999998,-373.79999999999984,-378.5999999999999,-375.5999999999998,6,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,401208,episode_summary,gametheoretic
6,6,3,1000,2.0,500,1000,84.99999999999933,83.99999999999955,76.9999999999996,82.99999999999945,87.9999999999995,80.99999999999942,-834.8000000000009,-834.4000000000005,-831.6000000000006,-834.000000000001,-836.0,-833.1999999999996,-374.9000000000006,-375.2000000000003,-377.3000000000003,-375.50000000000034,-374.00000000000045,-376.1000000000004,6,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,401208,episode_summary,gametheoretic
6,6,4,1000,1.0,500,1000,63.99999999999972,99.74999999999932,72.99999999999955,76.99999999999953,81.99999999999949,102.99999999999926,-826.200000000002,-840.400000000001,-829.800000000001,-831.400000000001,-833.400000000001,-841.8000000000001,-381.10000000000025,-370.32500000000033,-378.4000000000004,-377.2000000000005,-375.7000000000004,-369.40000000000015,6,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,401208,episode_summary,gametheoretic
6,6,5,1000,3.0,500,1000,84.99999999999942,83.99999999999937,96.99999999999916,80.99999999999937,73.99999999999962,75.99999999999945,-835.2000000000027,-834.8000000000025,-840.000000000002,-833.6000000000013,-830.800000000002,-831.6000000000021,-375.1000000000002,-375.40000000000015,-371.50000000000017,-376.30000000000047,-378.4000000000005,-377.8000000000004,6,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,401208,episode_summary,gametheoretic
6,6,6,1000,0.0,500,1000,62.999999999999645,99.99999999999942,85.9999999999996,74.99999999999963,88.9999999999995,86.99999999999946,-825.2000000000005,-839.9999999999997,-834.3999999999997,-829.9999999999995,-835.5999999999995,-834.8000000000004,-381.1000000000001,-369.99999999999983,-374.19999999999976,-377.50000000000006,-373.29999999999967,-373.89999999999975,6,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,401208,episode_summary,gametheoretic
7,7,0,1000,1.0,500,1000,77.99999999999949,103.99999999999945,77.99999999999955,77.99999999999959,83.99999999999939,76.99999999999967,-831.599999999999,-842.0000000000002,-831.6000000000003,-831.5999999999999,-834.0000000000002,-831.2000000000002,-376.8000000000004,-369.0000000000001,-376.8000000000001,-376.80000000000007,-375.0000000000001,-377.1000000000002,7,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,967996,episode_summary,gametheoretic
7,7,1,1000,2.0,500,1000,80.9999999999995,81.99999999999946,88.99999999999963,80.99999999999943,75.99999999999957,88.9999999999995,-833.2000000000016,-833.6000000000015,-836.4000000000003,-833.2000000000004,-831.2000000000014,-836.4000000000019,-376.1000000000003,-375.8000000000002,-373.7000000000004,-376.1000000000002,-377.6000000000003,-373.70000000000016,7,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,967996,episode_summary,gametheoretic
7,7,2,1000,0.0,500,1000,82.99999999999952,78.99999999999939,93.89999999999937,72.9999999999998,88.99999999999939,81.99999999999936,-833.2800000000012,-831.6800000000007,-837.6000000000009,-829.2800000000013,-835.6800000000012,-832.8800000000009,-375.1400000000003,-376.3400000000004,-371.8500000000002,-378.1400000000003,-373.3400000000003,-375.4400000000003,7,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,967996,episode_summary,gametheoretic
8,8,0,1000,0.0,500,1000,81.99999999999953,102.99999999999928,90.99999999999942,72.99999999999959,73.99999999999959,76.99999999999956,-832.7999999999993,-841.1999999999998,-836.3999999999997,-829.2000000000003,-829.5999999999991,-830.7999999999993,-375.4,-369.0999999999999,-372.6999999999999,-378.1,-377.7999999999999,-376.9,8,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,853800,episode_summary,gametheoretic
9,9,0,1000,0.0,500,1000,97.99999999999936,76.99999999999979,82.99999999999974,73.9999999999995,93.99999999999945,73.99999999999963,-839.2000000000007,-830.8000000000004,-833.1999999999998,-829.5999999999996,-837.6000000000003,-829.6000000000004,-370.6000000000003,-376.9000000000001,-375.0999999999999,-377.8000000000003,-371.80000000000007,-377.8000000000002,9,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,455270,episode_summary,gametheoretic
